,model_name,overall_accuracy,sample_id,question,correct_answer,model_answer,is_correct
106,Qwen/Qwen2.5-3B,99.8,106,Is 392 > 533? Answer:,No,No,True
107,Qwen/Qwen2.5-3B,99.8,107,Is 258 > 294? Answer:,No,No,True
108,Qwen/Qwen2.5-3B,99.8,108,Is 322 > 159? Answer:,Yes,Yes,True
109,Qwen/Qwen2.5-3B,99.8,109,Is 865 > 421? Answer:,Yes,Yes,True
110,Qwen/Qwen2.5-3B,99.8,110,Is 151 > 698? Answer:,No,No,True
111,Qwen/Qwen2.5-3B,99.8,111,Is 614 > 973? Answer:,No,No,True
112,Qwen/Qwen2.5-3B,99.8,112,Is 158 > 620? Answer:,No,No,True
113,Qwen/Qwen2.5-3B,99.8,113,Is 971 > 290? Answer:,Yes,Yes,True
114,Qwen/Qwen2.5-3B,99.8,114,Is 709 > 169? Answer:,Yes,Yes,True
115,Qwen/Qwen2.5-3B,99.8,115,Is 513 > 222? Answer:,Yes,Yes,True
116,Qwen/Qwen2.5-3B,99.8,116,Is 692 > 708? Answer:,No,No,True
117,Qwen/Qwen2.5-3B,99.8,117,Is 734 > 183? Answer:,Yes,Yes,True
118,Qwen/Qwen2.5-3B,99.8,118,Is 773 > 697? Answer:,Yes,Yes,True
119,Qwen/Qwen2.5-3B,99.8,119,Is 367 > 309? Answer:,Yes,Yes,True
120,Qwen/Qwen2.5-3B,99.8,120,Is 344 > 371? Answer:,No,No,True
121,Qwen/Qwen2.5-3B,99.8,121,Is 234 > 787? Answer:,No,No,True
122,Qwen/Qwen2.5-3B,99.8,122,Is 568 > 423? Answer:,Yes,Yes,True
123,Qwen/Qwen2.5-3B,99.8,123,Is 109 > 569? Answer:,No,No,True
124,Qwen/Qwen2.5-3B,99.8,124,Is 175 > 650? Answer:,No,No,True
125,Qwen/Qwen2.5-3B,99.8,125,Is 618 > 371? Answer:,Yes,Yes,True
126,Qwen/Qwen2.5-3B,99.8,126,Is 457 > 170? Answer:,Yes,Yes,True
127,Qwen/Qwen2.5-3B,99.8,127,Is 478 > 391? Answer:,Yes,Yes,True
128,Qwen/Qwen2.5-3B,99.8,128,Is 548 > 953? Answer:,No,No,True
129,Qwen/Qwen2.5-3B,99.8,129,Is 726 > 926? Answer:,No,No,True
130,Qwen/Qwen2.5-3B,99.8,130,Is 783 > 936? Answer:,No,No,True
131,Qwen/Qwen2.5-3B,99.8,131,Is 779 > 206? Answer:,Yes,Yes,True
132,Qwen/Qwen2.5-3B,99.8,132,Is 370 > 218? Answer:,Yes,Yes,True
133,Qwen/Qwen2.5-3B,99.8,133,Is 860 > 666? Answer:,Yes,Yes,True
134,Qwen/Qwen2.5-3B,99.8,134,Is 378 > 388? Answer:,No,No,True
135,Qwen/Qwen2.5-3B,99.8,135,Is 834 > 451? Answer:,Yes,Yes,True
136,Qwen/Qwen2.5-3B,99.8,136,Is 803 > 749? Answer:,Yes,Yes,True
137,Qwen/Qwen2.5-3B,99.8,137,Is 617 > 600? Answer:,Yes,Yes,True
138,Qwen/Qwen2.5-3B,99.8,138,Is 966 > 152? Answer:,Yes,Yes,True
139,Qwen/Qwen2.5-3B,99.8,139,Is 749 > 533? Answer:,Yes,Yes,True
140,Qwen/Qwen2.5-3B,99.8,140,Is 145 > 103? Answer:,Yes,Yes,True
141,Qwen/Qwen2.5-3B,99.8,141,Is 889 > 233? Answer:,Yes,Yes,True
142,Qwen/Qwen2.5-3B,99.8,142,Is 265 > 859? Answer:,No,No,True
143,Qwen/Qwen2.5-3B,99.8,143,Is 664 > 822? Answer:,No,No,True
144,Qwen/Qwen2.5-3B,99.8,144,Is 674 > 109? Answer:,Yes,Yes,True
145,Qwen/Qwen2.5-3B,99.8,145,Is 177 > 807? Answer:,No,No,True
146,Qwen/Qwen2.5-3B,99.8,146,Is 658 > 136? Answer:,Yes,Yes,True
147,Qwen/Qwen2.5-3B,99.8,147,Is 696 > 665? Answer:,Yes,Yes,True
148,Qwen/Qwen2.5-3B,99.8,148,Is 540 > 230? Answer:,Yes,Yes,True
149,Qwen/Qwen2.5-3B,99.8,149,Is 415 > 473? Answer:,No,No,True
150,Qwen/Qwen2.5-3B,99.8,150,Is 466 > 315? Answer:,Yes,Yes,True
151,Qwen/Qwen2.5-3B,99.8,151,Is 782 > 205? Answer:,Yes,Yes,True
152,Qwen/Qwen2.5-3B,99.8,152,Is 898 > 673? Answer:,Yes,Yes,True
153,Qwen/Qwen2.5-3B,99.8,153,Is 735 > 867? Answer:,No,No,True
154,Qwen/Qwen2.5-3B,99.8,154,Is 342 > 985? Answer:,No,No,True
155,Qwen/Qwen2.5-3B,99.8,155,Is 919 > 930? Answer:,No,No,True
156,Qwen/Qwen2.5-3B,99.8,156,Is 522 > 125? Answer:,Yes,Yes,True
157,Qwen/Qwen2.5-3B,99.8,157,Is 854 > 440? Answer:,Yes,Yes,True
158,Qwen/Qwen2.5-3B,99.8,158,Is 921 > 785? Answer:,Yes,Yes,True
159,Qwen/Qwen2.5-3B,99.8,159,Is 373 > 263? Answer:,Yes,Yes,True
160,Qwen/Qwen2.5-3B,99.8,160,Is 491 > 993? Answer:,No,No,True
161,Qwen/Qwen2.5-3B,99.8,161,Is 979 > 581? Answer:,Yes,Yes,True
162,Qwen/Qwen2.5-3B,99.8,162,Is 304 > 936? Answer:,No,No,True
163,Qwen/Qwen2.5-3B,99.8,163,Is 458 > 412? Answer:,Yes,Yes,True
164,Qwen/Qwen2.5-3B,99.8,164,Is 328 > 124? Answer:,Yes,Yes,True
165,Qwen/Qwen2.5-3B,99.8,165,Is 508 > 436? Answer:,Yes,Yes,True
166,Qwen/Qwen2.5-3B,99.8,166,Is 985 > 171? Answer:,Yes,Yes,True
167,Qwen/Qwen2.5-3B,99.8,167,Is 459 > 756? Answer:,No,No,True
168,Qwen/Qwen2.5-3B,99.8,168,Is 795 > 963? Answer:,No,No,True
169,Qwen/Qwen2.5-3B,99.8,169,Is 128 > 218? Answer:,No,No,True
170,Qwen/Qwen2.5-3B,99.8,170,Is 282 > 694? Answer:,No,No,True
171,Qwen/Qwen2.5-3B,99.8,171,Is 139 > 211? Answer:,No,No,True
172,Qwen/Qwen2.5-3B,99.8,172,Is 453 > 846? Answer:,No,No,True
173,Qwen/Qwen2.5-3B,99.8,173,Is 546 > 720? Answer:,No,No,True
174,Qwen/Qwen2.5-3B,99.8,174,Is 494 > 690? Answer:,No,No,True
175,Qwen/Qwen2.5-3B,99.8,175,Is 360 > 145? Answer:,Yes,Yes,True
176,Qwen/Qwen2.5-3B,99.8,176,Is 101 > 632? Answer:,No,No,True
177,Qwen/Qwen2.5-3B,99.8,177,Is 472 > 541? Answer:,No,No,True
178,Qwen/Qwen2.5-3B,99.8,178,Is 780 > 438? Answer:,Yes,Yes,True
179,Qwen/Qwen2.5-3B,99.8,179,Is 779 > 968? Answer:,No,No,True
180,Qwen/Qwen2.5-3B,99.8,180,Is 837 > 407? Answer:,Yes,Yes,True
181,Qwen/Qwen2.5-3B,99.8,181,Is 782 > 518? Answer:,Yes,Yes,True
182,Qwen/Qwen2.5-3B,99.8,182,Is 512 > 813? Answer:,No,No,True
183,Qwen/Qwen2.5-3B,99.8,183,Is 667 > 230? Answer:,Yes,Yes,True
184,Qwen/Qwen2.5-3B,99.8,184,Is 530 > 780? Answer:,No,No,True
185,Qwen/Qwen2.5-3B,99.8,185,Is 793 > 866? Answer:,No,No,True
186,Qwen/Qwen2.5-3B,99.8,186,Is 730 > 682? Answer:,Yes,Yes,True
187,Qwen/Qwen2.5-3B,99.8,187,Is 515 > 661? Answer:,No,No,True
188,Qwen/Qwen2.5-3B,99.8,188,Is 411 > 393? Answer:,Yes,Yes,True
189,Qwen/Qwen2.5-3B,99.8,189,Is 540 > 904? Answer:,No,No,True
190,Qwen/Qwen2.5-3B,99.8,190,Is 576 > 552? Answer:,Yes,Yes,True
191,Qwen/Qwen2.5-3B,99.8,191,Is 791 > 318? Answer:,Yes,Yes,True
192,Qwen/Qwen2.5-3B,99.8,192,Is 912 > 915? Answer:,No,No,True
193,Qwen/Qwen2.5-3B,99.8,193,Is 774 > 186? Answer:,Yes,Yes,True
194,Qwen/Qwen2.5-3B,99.8,194,Is 627 > 779? Answer:,No,No,True
195,Qwen/Qwen2.5-3B,99.8,195,Is 195 > 938? Answer:,No,No,True
196,Qwen/Qwen2.5-3B,99.8,196,Is 788 > 417? Answer:,Yes,Yes,True
197,Qwen/Qwen2.5-3B,99.8,197,Is 925 > 303? Answer:,Yes,Yes,True
198,Qwen/Qwen2.5-3B,99.8,198,Is 125 > 147? Answer:,No,No,True
199,Qwen/Qwen2.5-3B,99.8,199,Is 586 > 725? Answer:,No,No,True
200,Qwen/Qwen2.5-3B,99.8,200,Is 566 > 524? Answer:,Yes,Yes,True
201,Qwen/Qwen2.5-3B,99.8,201,Is 835 > 813? Answer:,Yes,Yes,True
202,Qwen/Qwen2.5-3B,99.8,202,Is 606 > 509? Answer:,Yes,Yes,True
203,Qwen/Qwen2.5-3B,99.8,203,Is 251 > 771? Answer:,No,No,True
204,Qwen/Qwen2.5-3B,99.8,204,Is 868 > 981? Answer:,No,No,True
205,Qwen/Qwen2.5-3B,99.8,205,Is 897 > 535? Answer:,Yes,Yes,True
206,Qwen/Qwen2.5-3B,99.8,206,Is 280 > 923? Answer:,No,No,True
207,Qwen/Qwen2.5-3B,99.8,207,Is 151 > 670? Answer:,No,No,True
208,Qwen/Qwen2.5-3B,99.8,208,Is 968 > 224? Answer:,Yes,Yes,True
209,Qwen/Qwen2.5-3B,99.8,209,Is 236 > 920? Answer:,No,No,True
210,Qwen/Qwen2.5-3B,99.8,210,Is 783 > 643? Answer:,Yes,Yes,True
211,Qwen/Qwen2.5-3B,99.8,211,Is 873 > 553? Answer:,Yes,Yes,True
212,Qwen/Qwen2.5-3B,99.8,212,Is 950 > 661? Answer:,Yes,Yes,True
213,Qwen/Qwen2.5-3B,99.8,213,Is 262 > 861? Answer:,No,No,True
214,Qwen/Qwen2.5-3B,99.8,214,Is 560 > 365? Answer:,Yes,Yes,True
215,Qwen/Qwen2.5-3B,99.8,215,Is 960 > 752? Answer:,Yes,Yes,True
216,Qwen/Qwen2.5-3B,99.8,216,Is 884 > 896? Answer:,No,No,True
217,Qwen/Qwen2.5-3B,99.8,217,Is 741 > 344? Answer:,Yes,Yes,True
218,Qwen/Qwen2.5-3B,99.8,218,Is 550 > 179? Answer:,Yes,Yes,True
219,Qwen/Qwen2.5-3B,99.8,219,Is 340 > 378? Answer:,No,No,True
220,Qwen/Qwen2.5-3B,99.8,220,Is 427 > 653? Answer:,No,No,True
221,Qwen/Qwen2.5-3B,99.8,221,Is 241 > 254? Answer:,No,No,True
222,Qwen/Qwen2.5-3B,99.8,222,Is 492 > 810? Answer:,No,No,True
223,Qwen/Qwen2.5-3B,99.8,223,Is 823 > 319? Answer:,Yes,Yes,True
224,Qwen/Qwen2.5-3B,99.8,224,Is 524 > 517? Answer:,Yes,Yes,True
225,Qwen/Qwen2.5-3B,99.8,225,Is 655 > 577? Answer:,Yes,Yes,True
226,Qwen/Qwen2.5-3B,99.8,226,Is 163 > 311? Answer:,No,No,True
227,Qwen/Qwen2.5-3B,99.8,227,Is 498 > 888? Answer:,No,No,True
228,Qwen/Qwen2.5-3B,99.8,228,Is 977 > 883? Answer:,Yes,Yes,True
229,Qwen/Qwen2.5-3B,99.8,229,Is 588 > 106? Answer:,Yes,Yes,True
230,Qwen/Qwen2.5-3B,99.8,230,Is 405 > 871? Answer:,No,No,True
231,Qwen/Qwen2.5-3B,99.8,231,Is 973 > 955? Answer:,Yes,Yes,True
232,Qwen/Qwen2.5-3B,99.8,232,Is 651 > 865? Answer:,No,No,True
233,Qwen/Qwen2.5-3B,99.8,233,Is 599 > 324? Answer:,Yes,Yes,True
234,Qwen/Qwen2.5-3B,99.8,234,Is 546 > 597? Answer:,No,No,True
235,Qwen/Qwen2.5-3B,99.8,235,Is 498 > 444? Answer:,Yes,Yes,True
236,Qwen/Qwen2.5-3B,99.8,236,Is 841 > 269? Answer:,Yes,Yes,True
237,Qwen/Qwen2.5-3B,99.8,237,Is 230 > 737? Answer:,No,No,True
238,Qwen/Qwen2.5-3B,99.8,238,Is 503 > 706? Answer:,No,No,True
239,Qwen/Qwen2.5-3B,99.8,239,Is 185 > 758? Answer:,No,No,True
240,Qwen/Qwen2.5-3B,99.8,240,Is 238 > 987? Answer:,No,No,True
241,Qwen/Qwen2.5-3B,99.8,241,Is 286 > 151? Answer:,Yes,Yes,True
242,Qwen/Qwen2.5-3B,99.8,242,Is 488 > 435? Answer:,Yes,Yes,True
243,Qwen/Qwen2.5-3B,99.8,243,Is 565 > 434? Answer:,Yes,Yes,True
244,Qwen/Qwen2.5-3B,99.8,244,Is 879 > 488? Answer:,Yes,Yes,True
245,Qwen/Qwen2.5-3B,99.8,245,Is 870 > 951? Answer:,No,No,True
246,Qwen/Qwen2.5-3B,99.8,246,Is 358 > 954? Answer:,No,No,True
247,Qwen/Qwen2.5-3B,99.8,247,Is 581 > 119? Answer:,Yes,Yes,True
248,Qwen/Qwen2.5-3B,99.8,248,Is 458 > 329? Answer:,Yes,Yes,True
249,Qwen/Qwen2.5-3B,99.8,249,Is 899 > 767? Answer:,Yes,Yes,True
250,Qwen/Qwen2.5-3B,99.8,250,Is 872 > 131? Answer:,Yes,Yes,True
251,Qwen/Qwen2.5-3B,99.8,251,Is 304 > 959? Answer:,No,No,True
252,Qwen/Qwen2.5-3B,99.8,252,Is 736 > 256? Answer:,Yes,Yes,True
253,Qwen/Qwen2.5-3B,99.8,253,Is 229 > 584? Answer:,No,No,True
254,Qwen/Qwen2.5-3B,99.8,254,Is 677 > 323? Answer:,Yes,Yes,True
255,Qwen/Qwen2.5-3B,99.8,255,Is 816 > 362? Answer:,Yes,Yes,True
256,Qwen/Qwen2.5-3B,99.8,256,Is 271 > 720? Answer:,No,No,True
257,Qwen/Qwen2.5-3B,99.8,257,Is 896 > 938? Answer:,No,No,True
258,Qwen/Qwen2.5-3B,99.8,258,Is 418 > 210? Answer:,Yes,Yes,True
259,Qwen/Qwen2.5-3B,99.8,259,Is 419 > 689? Answer:,No,No,True
260,Qwen/Qwen2.5-3B,99.8,260,Is 506 > 832? Answer:,No,No,True
261,Qwen/Qwen2.5-3B,99.8,261,Is 177 > 706? Answer:,No,No,True
262,Qwen/Qwen2.5-3B,99.8,262,Is 204 > 813? Answer:,No,No,True
263,Qwen/Qwen2.5-3B,99.8,263,Is 970 > 800? Answer:,Yes,Yes,True
264,Qwen/Qwen2.5-3B,99.8,264,Is 915 > 679? Answer:,Yes,Yes,True
265,Qwen/Qwen2.5-3B,99.8,265,Is 455 > 645? Answer:,No,No,True
266,Qwen/Qwen2.5-3B,99.8,266,Is 777 > 479? Answer:,Yes,Yes,True
267,Qwen/Qwen2.5-3B,99.8,267,Is 618 > 763? Answer:,No,No,True
268,Qwen/Qwen2.5-3B,99.8,268,Is 112 > 969? Answer:,No,No,True
269,Qwen/Qwen2.5-3B,99.8,269,Is 942 > 601? Answer:,Yes,Yes,True
270,Qwen/Qwen2.5-3B,99.8,270,Is 543 > 470? Answer:,Yes,Yes,True
271,Qwen/Qwen2.5-3B,99.8,271,Is 824 > 256? Answer:,Yes,Yes,True
272,Qwen/Qwen2.5-3B,99.8,272,Is 280 > 851? Answer:,No,No,True
273,Qwen/Qwen2.5-3B,99.8,273,Is 730 > 927? Answer:,No,No,True
274,Qwen/Qwen2.5-3B,99.8,274,Is 576 > 546? Answer:,Yes,Yes,True
275,Qwen/Qwen2.5-3B,99.8,275,Is 430 > 972? Answer:,No,No,True
276,Qwen/Qwen2.5-3B,99.8,276,Is 950 > 188? Answer:,Yes,Yes,True
277,Qwen/Qwen2.5-3B,99.8,277,Is 561 > 349? Answer:,Yes,Yes,True
278,Qwen/Qwen2.5-3B,99.8,278,Is 683 > 724? Answer:,No,No,True
279,Qwen/Qwen2.5-3B,99.8,279,Is 444 > 129? Answer:,Yes,Yes,True
280,Qwen/Qwen2.5-3B,99.8,280,Is 971 > 432? Answer:,Yes,Yes,True
281,Qwen/Qwen2.5-3B,99.8,281,Is 599 > 317? Answer:,Yes,Yes,True
282,Qwen/Qwen2.5-3B,99.8,282,Is 916 > 364? Answer:,Yes,Yes,True
283,Qwen/Qwen2.5-3B,99.8,283,Is 386 > 710? Answer:,No,No,True
284,Qwen/Qwen2.5-3B,99.8,284,Is 669 > 110? Answer:,Yes,Yes,True
285,Qwen/Qwen2.5-3B,99.8,285,Is 187 > 347? Answer:,No,No,True
286,Qwen/Qwen2.5-3B,99.8,286,Is 600 > 668? Answer:,No,No,True
287,Qwen/Qwen2.5-3B,99.8,287,Is 807 > 587? Answer:,Yes,Yes,True
288,Qwen/Qwen2.5-3B,99.8,288,Is 558 > 911? Answer:,No,No,True
289,Qwen/Qwen2.5-3B,99.8,289,Is 195 > 401? Answer:,No,No,True
290,Qwen/Qwen2.5-3B,99.8,290,Is 514 > 808? Answer:,No,No,True
291,Qwen/Qwen2.5-3B,99.8,291,Is 413 > 779? Answer:,No,No,True
292,Qwen/Qwen2.5-3B,99.8,292,Is 584 > 666? Answer:,No,No,True
293,Qwen/Qwen2.5-3B,99.8,293,Is 535 > 863? Answer:,No,No,True
294,Qwen/Qwen2.5-3B,99.8,294,Is 460 > 819? Answer:,No,No,True
295,Qwen/Qwen2.5-3B,99.8,295,Is 377 > 413? Answer:,No,No,True
296,Qwen/Qwen2.5-3B,99.8,296,Is 336 > 223? Answer:,Yes,Yes,True
297,Qwen/Qwen2.5-3B,99.8,297,Is 423 > 222? Answer:,Yes,Yes,True
298,Qwen/Qwen2.5-3B,99.8,298,Is 296 > 321? Answer:,No,No,True
299,Qwen/Qwen2.5-3B,99.8,299,Is 383 > 841? Answer:,No,No,True
300,Qwen/Qwen2.5-3B,99.8,300,Is 202 > 952? Answer:,No,No,True
301,Qwen/Qwen2.5-3B,99.8,301,Is 403 > 332? Answer:,Yes,Yes,True
